Date,Description,Debit,Credit,Balance,Reference,Currency
2025-11-01,Opening Balance Carry Forward,,,4250.00,OB-001,LKR
2025-11-03,ACME Corp Payroll SALARY,,3200.00,7450.00,PAY-77821,LKR
2025-11-04,Woolworths Groceries #4421,86.45,,7363.55,POS-90112,LKR
2025-11-05,Uber Trip *CITY RIDE,18.20,,7345.35,UBR-33102,LKR
2025-11-05,Netflix Subscription,15.99,,7329.36,SUB-NETFLIX,LKR
2025-11-06,Shell Fuel Station,62.00,,7267.36,POS-55120,LKR
2025-11-07,Starbucks Coffee,7.80,,7259.56,POS-22901,LKR
2025-11-08,Electric Company Bill,124.50,,7135.06,UTIL-ELEC,LKR
2025-11-09,Amazon Marketplace,54.99,,7080.07,AMZ-10021,LKR
2025-11-10,ATM Withdrawal Main St,200.00,,6880.07,ATM-99101,LKR
2025-11-11,Uber Trip *AIRPORT,42.50,,6837.57,UBR-33910,LKR
2025-11-12,Spotify Premium,10.99,,6826.58,SUB-SPOTIFY,LKR
2025-11-13,Transfer to Savings Jane Doe A/C ****4321,500.00,,6326.58,TFR-OUT-12,LKR
2025-11-14,Coles Supermarket,73.20,,6253.38,POS-77812,LKR
2025-11-15,McDonalds Restaurant,14.50,,6238.88,POS-44110,LKR
2025-11-16,Bank Service Charge Fee,12.00,,6226.88,FEE-SVC,LKR
2025-11-18,Personal Loan EMI Payment,450.00,,5776.88,LOAN-EMI-09,LKR
2025-11-20,Delivery Dining Doordash,35.60,,5741.28,DD-55210,LKR
2025-11-22,Airbnb Stay Deposit,380.00,,5361.28,AIR-88211,LKR
2025-11-24,Uber Trip *NIGHT,22.10,,5339.18,UBR-34001,LKR
2025-11-25,Interest Credit,,2.15,5341.33,INT-NOV,LKR
2025-11-28,Pharmacy HealthCare Plus,28.40,,5312.93,POS-66201,LKR
2025-11-29,Failed Payment Retry NSF Declined,0.00,,5312.93,FAIL-001,LKR
2025-11-30,Google Play Subscription,6.49,,5306.44,SUB-GPLAY,LKR
2025-12-01,ACME Corp Payroll SALARY,,3200.00,8506.44,PAY-77822,LKR
2025-12-02,Woolworths Groceries #4490,91.10,,8415.34,POS-91220,LKR
2025-12-03,Uber Trip *CITY RIDE,16.80,,8398.54,UBR-35010,LKR
2025-12-03,Netflix Subscription,15.99,,8382.55,SUB-NETFLIX,LKR
2025-12-04,Restaurant Downtown Grill,128.00,,8254.55,POS-DINING,LKR
2025-12-05,Spotify Premium,10.99,,8243.56,SUB-SPOTIFY,LKR
2025-12-06,Water Utility Bill,45.00,,8198.56,UTIL-WATER,LKR
2025-12-07,Uber Trip *CITY RIDE,19.40,,8179.16,UBR-35100,LKR
2025-12-08,ATM Withdrawal Main St,150.00,,8029.16,ATM-99200,LKR
2025-12-09,Duplicate Charge Test WidgetCo,49.99,,7979.17,DUP-100,LKR
2025-12-09,Duplicate Charge Test WidgetCo,49.99,,7929.18,DUP-101,LKR
2025-12-10,Airline Emirates Booking,890.00,,7039.18,AIR-EMIR,LKR
2025-12-12,Transfer from Friend John,,120.00,7159.18,TFR-IN-88,LKR
2025-12-14,Coles Supermarket,68.40,,7090.78,POS-78100,LKR
2025-12-15,Starbucks Coffee,8.20,,7082.58,POS-22955,LKR
2025-12-16,Bank Late Fee,25.00,,7057.58,FEE-LATE,LKR
2025-12-18,Personal Loan EMI Payment,450.00,,6607.58,LOAN-EMI-10,LKR
2025-12-20,Cinema Entertainment Night,32.00,,6575.58,POS-MOVIE,LKR
2025-12-22,Uber Trip *CITY RIDE,21.00,,6554.58,UBR-36020,LKR
2025-12-24,Doordash Dining Order,41.25,,6513.33,DD-56001,LKR
2025-12-28,Internet Broadband Bill,79.00,,6434.33,UTIL-NET,LKR
2025-12-30,Google Play Subscription,6.49,,6427.84,SUB-GPLAY,LKR
